paper1,gender1,year1,paper2,gender2,year2,qval,k
10.1103/PhysRevA.31.3473,male,1985,10.1103/PhysRevA.45.6123,male,1992,0.0029850746273529793,False
10.1103/PhysRevA.32.1663,male,1985,10.1103/PhysRevA.35.3024,male,1987,0.011111111111111294,True
10.1103/PhysRevA.32.1663,male,1985,10.1103/PhysRevA.37.77,male,1988,0.011111111111111294,True
10.1103/PhysRevA.35.3024,male,1987,10.1103/PhysRevA.37.77,male,1988,0.011111111111111294,True
10.1103/PhysRevA.32.1663,male,1985,10.1103/PhysRevE.51.1440,male,1995,0.011111111111111294,True
10.1103/PhysRevA.35.3024,male,1987,10.1103/PhysRevE.51.1440,male,1995,0.011111111111111294,True
10.1103/PhysRevA.37.77,male,1988,10.1103/PhysRevE.51.1440,male,1995,0.0059171597633128625,True
10.1103/PhysRevA.37.83,male,1988,10.1103/PhysRevE.51.1440,male,1995,0.009090909090908816,False
10.1103/PhysRevA.42.2346,male,1990,10.1103/PhysRevE.51.1440,male,1995,0.009090909090908816,False
10.1103/PhysRevA.42.6588,male,1990,10.1103/PhysRevE.51.1440,male,1995,0.009090909090908816,False
10.1103/PhysRevA.32.1663,male,1985,10.1103/PhysRevE.55.1836,male,1997,0.011111111111111294,True
10.1103/PhysRevA.35.3024,male,1987,10.1103/PhysRevE.55.1836,male,1997,0.011111111111111294,False
10.1103/PhysRevA.37.77,male,1988,10.1103/PhysRevE.55.1836,male,1997,0.011111111111111294,False
10.1103/PhysRevA.37.83,male,1988,10.1103/PhysRevE.55.1836,male,1997,0.018867924528301883,False
10.1103/PhysRevE.49.5565,male,1994,10.1103/PhysRevE.55.1836,male,1997,0.0029850746273529793,False
10.1103/PhysRevE.51.1440,male,1995,10.1103/PhysRevE.55.1836,male,1997,0.011111111111111294,True
10.1103/PhysRevA.32.1669,male,1985,10.1103/PhysRevA.33.604,male,1986,0.07142857142857084,False
10.1103/PhysRevA.32.1669,male,1985,10.1103/PhysRevA.36.3399,male,1987,0.07142857142857084,True
10.1103/PhysRevA.33.604,male,1986,10.1103/PhysRevA.36.3399,male,1987,0.07142857142857084,False
10.1103/PhysRevA.32.1669,male,1985,10.1103/PhysRevA.41.5516,male,1990,0.022222222222223587,True
10.1103/PhysRevA.33.604,male,1986,10.1103/PhysRevA.41.5516,male,1990,0.07142857142857084,False
10.1103/PhysRevA.34.4163,male,1986,10.1103/PhysRevA.41.5516,male,1990,0.022222222222223587,False
10.1103/PhysRevA.35.4743,male,1987,10.1103/PhysRevA.41.5516,male,1990,0.022222222222223587,False
10.1103/PhysRevA.36.3399,male,1987,10.1103/PhysRevA.41.5516,male,1990,0.018867924528301883,False
10.1103/PhysRevA.36.4511,male,1987,10.1103/PhysRevA.41.5516,male,1990,0.022222222222223587,False
10.1103/PhysRevA.32.1669,male,1985,10.1103/PhysRevA.41.6940,male,1990,0.07142857142857084,False
10.1103/PhysRevA.33.604,male,1986,10.1103/PhysRevA.41.6940,male,1990,0.07142857142857084,False
10.1103/PhysRevA.36.3399,male,1987,10.1103/PhysRevA.41.6940,male,1990,0.07142857142857084,False
10.1103/PhysRevA.41.5516,male,1990,10.1103/PhysRevA.41.6940,male,1990,0.07142857142857084,True
10.1103/PhysRevA.32.1669,male,1985,10.1103/PhysRevA.45.1084,male,1992,0.14285714285714302,False
10.1103/PhysRevA.33.604,male,1986,10.1103/PhysRevA.45.1084,male,1992,0.14285714285714302,False
10.1103/PhysRevA.36.3399,male,1987,10.1103/PhysRevA.45.1084,male,1992,0.14285714285714302,False
10.1103/PhysRevA.41.5516,male,1990,10.1103/PhysRevA.45.1084,male,1992,0.14285714285714302,True
10.1103/PhysRevA.41.6940,male,1990,10.1103/PhysRevA.45.1084,male,1992,0.14285714285714302,True
10.1103/PhysRevA.43.7073,male,1991,10.1103/PhysRevA.45.1084,male,1992,1.0,False
10.1103/PhysRevA.43.973,male,1991,10.1103/PhysRevA.45.1084,male,1992,1.0,False
10.1103/PhysRevA.32.1669,male,1985,10.1103/PhysRevA.45.5935,male,1992,0.011111111111111294,True
10.1103/PhysRevA.36.3399,male,1987,10.1103/PhysRevA.45.5935,male,1992,0.03773584905660221,True
10.1103/PhysRevA.41.5516,male,1990,10.1103/PhysRevA.45.5935,male,1992,0.022222222222223587,False
10.1103/PhysRevA.42.6201,male,1990,10.1103/PhysRevA.45.5935,male,1992,0.03773584905660221,False
10.1103/PhysRevA.43.7073,male,1991,10.1103/PhysRevA.45.5935,male,1992,0.03773584905660221,False
10.1103/PhysRevA.43.973,male,1991,10.1103/PhysRevA.45.5935,male,1992,0.03773584905660221,False
10.1103/PhysRevA.32.1669,male,1985,10.1103/PhysRevA.45.5946,male,1992,0.011111111111111294,True
10.1103/PhysRevA.36.3399,male,1987,10.1103/PhysRevA.45.5946,male,1992,0.03773584905660221,True
10.1103/PhysRevA.41.5516,male,1990,10.1103/PhysRevA.45.5946,male,1992,0.022222222222223587,True
10.1103/PhysRevA.41.6940,male,1990,10.1103/PhysRevA.45.5946,male,1992,1.0,False
10.1103/PhysRevA.42.6201,male,1990,10.1103/PhysRevA.45.5946,male,1992,0.03773584905660221,False
10.1103/PhysRevA.43.7073,male,1991,10.1103/PhysRevA.45.5946,male,1992,0.009090909090908816,True
10.1103/PhysRevA.43.973,male,1991,10.1103/PhysRevA.45.5946,male,1992,0.03773584905660221,True
10.1103/PhysRevA.45.1084,male,1992,10.1103/PhysRevA.45.5946,male,1992,1.0,False
10.1103/PhysRevA.45.5935,male,1992,10.1103/PhysRevA.45.5946,male,1992,0.0007256894049342266,True
10.1103/PhysRevA.32.1669,male,1985,10.1103/PhysRevB.57.8834,male,1998,0.011111111111111294,True
10.1103/PhysRevA.36.3399,male,1987,10.1103/PhysRevB.57.8834,male,1998,0.018867924528301883,False
10.1103/PhysRevA.41.5516,male,1990,10.1103/PhysRevB.57.8834,male,1998,0.018867924528301883,True
10.1103/PhysRevA.41.6940,male,1990,10.1103/PhysRevB.57.8834,male,1998,1.0,False
10.1103/PhysRevA.43.7073,male,1991,10.1103/PhysRevB.57.8834,male,1998,1.0,False
10.1103/PhysRevA.43.973,male,1991,10.1103/PhysRevB.57.8834,male,1998,1.0,False
10.1103/PhysRevA.45.1084,male,1992,10.1103/PhysRevB.57.8834,male,1998,1.0,False
10.1103/PhysRevA.45.5935,male,1992,10.1103/PhysRevB.57.8834,male,1998,0.011111111111111294,True
10.1103/PhysRevA.45.5946,male,1992,10.1103/PhysRevB.57.8834,male,1998,0.005970149253489154,True
10.1103/PhysRevA.46.3454,male,1992,10.1103/PhysRevB.57.8834,male,1998,1.0,False
10.1103/PhysRevA.46.3463,male,1992,10.1103/PhysRevB.57.8834,male,1998,1.0,False
10.1103/PhysRevB.43.14238,male,1991,10.1103/PhysRevB.57.8834,male,1998,1.0,False
10.1103/PhysRevB.45.5834,male,1992,10.1103/PhysRevB.57.8834,male,1998,1.0,False
10.1103/PhysRevB.48.8882,male,1993,10.1103/PhysRevB.57.8834,male,1998,1.0,False
10.1103/PhysRevA.32.1669,male,1985,10.1103/PhysRevE.64.046125,male,2001,0.21428571428571475,False
10.1103/PhysRevA.33.604,male,1986,10.1103/PhysRevE.64.046125,male,2001,0.21428571428571475,False
10.1103/PhysRevA.36.3399,male,1987,10.1103/PhysRevE.64.046125,male,2001,0.21428571428571475,True
10.1103/PhysRevA.41.5516,male,1990,10.1103/PhysRevE.64.046125,male,2001,0.21428571428571475,True
10.1103/PhysRevA.41.6940,male,1990,10.1103/PhysRevE.64.046125,male,2001,0.21428571428571475,True
10.1103/PhysRevA.42.6201,male,1990,10.1103/PhysRevE.64.046125,male,2001,0.018867924528301883,False
10.1103/PhysRevA.43.7073,male,1991,10.1103/PhysRevE.64.046125,male,2001,0.018867924528301883,False
10.1103/PhysRevA.43.973,male,1991,10.1103/PhysRevE.64.046125,male,2001,0.018867924528301883,False
10.1103/PhysRevA.45.1084,male,1992,10.1103/PhysRevE.64.046125,male,2001,0.03296703296703285,False
10.1103/PhysRevA.45.5935,male,1992,10.1103/PhysRevE.64.046125,male,2001,0.03773584905660399,False
10.1103/PhysRevA.45.5946,male,1992,10.1103/PhysRevE.64.046125,male,2001,0.03773584905660399,False
10.1103/PhysRevA.46.3454,male,1992,10.1103/PhysRevE.64.046125,male,2001,0.21428571428571475,False
10.1103/PhysRevA.46.3463,male,1992,10.1103/PhysRevE.64.046125,male,2001,0.21428571428571475,True
10.1103/PhysRevB.43.14238,male,1991,10.1103/PhysRevE.64.046125,male,2001,1.0,False
10.1103/PhysRevB.45.5834,male,1992,10.1103/PhysRevE.64.046125,male,2001,0.21428571428571475,False
10.1103/PhysRevB.48.8882,male,1993,10.1103/PhysRevE.64.046125,male,2001,0.03296703296703285,False
10.1103/PhysRevB.57.8834,male,1998,10.1103/PhysRevE.64.046125,male,2001,1.0,False
10.1103/PhysRevB.78.045304,male,2008,10.1103/PhysRevE.64.046125,male,2001,1.0,False
10.1103/PhysRevB.78.115324,male,2008,10.1103/PhysRevE.64.046125,male,2001,0.011834319526626946,False
10.1103/PhysRevE.56.4665,male,1997,10.1103/PhysRevE.64.046125,male,2001,1.0,False
10.1103/PhysRevE.56.7166,male,1997,10.1103/PhysRevE.64.046125,male,2001,1.0,False
10.1103/PhysRevE.60.R2484,male,1999,10.1103/PhysRevE.64.046125,male,2001,1.0,False
10.1103/PhysRevE.62.5648,male,2000,10.1103/PhysRevE.64.046125,male,2001,1.0,False
10.1103/PhysRevA.32.1669,male,1985,10.1103/PhysRevE.70.026406,male,2004,0.2857142857142867,False
10.1103/PhysRevA.33.604,male,1986,10.1103/PhysRevE.70.026406,male,2004,0.2857142857142867,False
10.1103/PhysRevA.36.3399,male,1987,10.1103/PhysRevE.70.026406,male,2004,0.2857142857142867,False
10.1103/PhysRevA.41.5516,male,1990,10.1103/PhysRevE.70.026406,male,2004,0.2857142857142867,True
10.1103/PhysRevA.41.6940,male,1990,10.1103/PhysRevE.70.026406,male,2004,0.2857142857142867,True
10.1103/PhysRevA.43.7073,male,1991,10.1103/PhysRevE.70.026406,male,2004,1.0,False
10.1103/PhysRevA.43.973,male,1991,10.1103/PhysRevE.70.026406,male,2004,1.0,False
10.1103/PhysRevA.45.1084,male,1992,10.1103/PhysRevE.70.026406,male,2004,0.0659340659340677,False
10.1103/PhysRevA.45.5946,male,1992,10.1103/PhysRevE.70.026406,male,2004,1.0,False
10.1103/PhysRevA.46.3454,male,1992,10.1103/PhysRevE.70.026406,male,2004,0.2857142857142867,True
